trials,ID,session,outcome,response,confidence
1,20,1,62,15.0,0.0953106029828632
2,20,1,55,57.0,0.0680592788885406
3,20,1,52,62.0,0.934175879950999
4,20,1,50,55.0,1.40097743088882
5,20,1,65,49.0,0.0674173039242305
6,20,1,55,61.0,0.667614895804945
7,20,1,43,62.0,0.0677036929619135
8,20,1,59,38.0,0.0341998174399123
9,20,1,32,56.0,0.0675242445704498
10,20,1,46,32.0,1.3676606187264
11,20,1,34,35.0,0.767539838700941
12,20,1,72,34.0,0.167662406588533
13,20,1,41,68.0,0.0679500206433659
14,20,1,35,45.0,0.200934191109809
15,20,1,34,37.0,0.700952897445859
16,20,1,25,31.0,0.800933793806507
17,20,1,59,26.0,0.867618736398981
18,20,1,47,57.0,0.100751001451499
19,20,1,49,50.0,0.701137643206494
20,20,1,47,48.0,0.667640389397093
21,20,1,44,42.0,0.20094147499276
22,20,1,14,35.0,0.0678692357587352
23,20,1,19,14.0,0.100854631241418
24,20,1,5,9.0,1.03439615119623
25,20,1,17,11.0,1.40106020228632
26,20,1,56,20.0,1.40086320635874
27,20,1,63,21.0,0.167525006067081
28,20,1,66,65.0,0.101105925206866
29,20,1,94,60.0,1.40137009840237
30,20,1,54,79.0,0.100906280595154
31,20,1,90,64.0,0.900882574866046
32,20,1,61,91.0,0.234277159033809
33,20,1,55,61.0,0.101095992638875
34,20,1,44,57.0,0.0675345082236163
35,20,1,42,46.0,0.80095432111375
36,20,1,67,47.0,0.43427735768546
37,20,1,80,66.0,0.0677066727321289
38,20,1,49,83.0,0.0675080213759429
39,20,1,77,47.0,0.267592315768525
40,20,1,70,40.0,0.100936078297309
41,20,1,54,70.0,1.40105987120114
42,20,1,48,75.0,0.100881449175176
43,20,1,53,51.0,0.734042584890631
44,20,1,53,49.0,1.16774352255834
45,20,1,57,74.0,0.10105758671034
46,20,1,48,50.0,0.600835262735018
47,20,1,38,46.0,0.0675530490170786
48,20,1,52,77.0,0.100689750616766
49,20,1,47,45.0,0.434315101443644
50,20,1,39,46.0,0.667665551901337
51,20,1,47,42.0,1.03437098869108
52,20,1,35,46.0,1.40090591640001
53,20,1,44,35.0,0.300998521040128
54,20,1,35,40.0,0.734174356956828
55,20,1,45,36.0,0.100709946837924
56,20,1,41,44.0,0.80088148228333
57,20,1,27,37.0,0.534631056424587
58,20,1,7,28.0,0.467579270995884
59,20,1,32,7.0,0.100956274518467
60,20,1,16,47.0,0.100998322389387
61,20,1,3,15.0,0.767487858263848
62,20,1,27,3.0,0.0674295540911771
63,20,1,33,4.0,0.0674255810636168
64,20,1,55,34.0,0.900814371233537
65,20,1,54,47.0,0.101053282597604
66,20,1,60,19.0,0.0677169363852954
67,20,1,83,55.0,0.834226767807195
68,20,1,83,86.0,0.0676712465738092
69,20,1,89,84.0,1.40092776804977
70,20,1,100,80.0,1.40104960754798
71,20,1,100,88.0,1.40094730209967
72,20,1,72,97.0,1.40088638235102
73,20,1,71,86.0,0.101065863850636
74,20,1,100,73.0,0.0343729752048603
75,20,1,100,85.0,0.534074501541909
76,20,1,74,84.0,0.0674904738398254
77,20,1,100,78.0,1.4010214652717
78,20,1,93,97.0,0.0342289529717164
79,20,1,77,94.0,0.900886216807521
80,20,1,66,87.0,0.0674547165954209
81,20,1,100,73.0,1.40083274648441
82,20,1,100,79.0,0.0675600018148543
83,20,1,87,96.0,1.4010996014722
84,20,1,91,90.0,2.97977039735997e-5
85,20,1,89,95.0,1.40070991372886
86,20,1,77,88.0,1.4010376884662
87,20,1,68,65.0,0.0677805048189839
88,20,1,100,63.0,0.101193000718013
89,20,1,89,82.0,1.40088869994906
90,20,1,84,76.0,0.100795366920465
91,20,1,88,77.0,0.900977927516578
92,20,1,100,84.0,0.167775637861268
93,20,1,100,55.0,0.0676447597270453
94,20,1,95,91.0,0.934198393772022
95,20,1,69,90.0,1.40081155700591
96,20,1,79,12.0,0.0674434596849096
97,20,1,68,82.0,0.867550201681297
98,20,1,78,61.0,0.067540798850132
99,20,1,100,79.0,0.967632079147734
100,20,1,92,79.0,0.0680486841492893
101,20,1,79,82.0,0.767590163712157
102,20,1,96,79.0,1.40110522992745
103,20,1,74,83.0,1.40088042280968
104,20,1,73,75.0,0.067356715259848
105,20,1,79,79.0,1.40075030617118
106,20,1,58,77.0,0.0677358082648425
107,20,1,64,59.0,0.101047985228433
108,20,1,67,62.0,1.40105689143093
109,20,1,66,67.0,0.0341855807591855
110,20,1,57,66.0,1.40085095619179
